autor,name_full,n,codigos
antonio celso de morais brito,Antonio Celso de Morais Brito,1,"{""66388"": 7}"
antonio claudio lucas da nobrega,Antonio Cláudio Lucas da Nóbrega,1,"{""73531"": 4}"
antonio c. seguro,Antonio C. Seguro,1,"{""73079"": 6}"
antonio jose inda filho,Antônio José Inda Filho,1,"{""66388"": 2}"
antonio jose inda-filho,Antonio José Inda-Filho,1,"{""73016"": 7}"
antonio jose lagoeiro jorge,Antonio José Lagoeiro Jorge,1,"{""72614"": 6}"
antonio m lerario,Antonio M. Lerario,1,"{""73052"": 4}"
antonio neves solon petrola,Antônio Neves Solon Petrola,1,"{""66857"": 1}"
antonio pedro leite lemos,Antônio Pedro Leite Lemos,8,"{""66397"": 5, ""66398"": 5, ""66539"": 6, ""66540"": 6, ""66561"": 6, ""66575"": 6, ""66759"": 5, ""68585"": 6}"
antonio quintal,Antonio Quintal,1,"{""66401"": 4}"
antonio tiberio fernandes lack,Antônio Tibério Fernandes Lack,1,"{""73879"": 4}"
aparecida ferreira furriel,Aparecida Ferreira Furriel,1,"{""73109"": 4}"
aparecida soares satiro,Aparecida Soares Sátiro,1,"{""73442"": 4}"
aparecido pimentel ferreira,Aparecido Pimentel Ferreira,1,"{""73016"": 8}"
araci sakashita,Araci Sakashita,1,"{""73520"": 5}"
ariana amorim de paula,Ariana Amorim de Paula,3,"{""66442"": 3, ""66475"": 5, ""66476"": 6}"
ariana soares homobono,Ariana Soares Homobono,1,"{""73018"": 5}"
ariane aparecida almeida barros,Ariane Aparecida Almeida Barros,2,"{""66455"": 1, ""66793"": 4}"
ariane da silva pires,Ariane da Silva Pires,1,"{""66874"": 4}"
ariane karen de sousa,Ariane Karen de Sousa,2,"{""72727"": 6, ""73743"": 6}"
